StudentID	Date	TableID	Slot_1	Slot_2	Slot_3	Slot_4	Slot_5	Slot_6	Slot_7	Slot_8
<<<<<<< HEAD
156	2025-01-22	0000	1	0	1	1	1	1	1	0
51	2025-01-22	0024	0	0	0	0	0	0	0	0
364	2025-01-23	0000	1	1	1	0	1	0	1	1
370	2025-01-23	0009	0	1	1	0	1	1	1	0
347	2025-01-22	0215	1	1	1	1	1	1	1	0
415	2025-01-22	0000	0	0	0	0	0	0	0	1
391	2025-01-22	0124	1	0	1	0	0	0	1	1
282	2025-01-22	0000	0	0	0	0	1	0	1	0
128	2025-01-20	0000	0	0	1	1	1	1	1	1
433	2025-01-20	0209	0	1	0	0	0	0	1	1
21	2025-01-23	0000	0	1	1	1	1	1	1	1
231	2025-01-23	0236	1	1	1	1	0	0	1	0
169	2025-01-18	0215	1	0	1	1	0	1	1	0
269	2025-01-18	0000	0	1	0	0	1	0	0	0
178	2025-01-19	0000	1	1	1	1	1	0	0	0
63	2025-01-19	0003	0	0	0	0	0	1	0	0
90	2025-01-19	0219	0	1	1	1	1	1	1	1
393	2025-01-19	0000	1	0	0	0	0	0	0	1
464	2025-01-21	0000	0	0	1	1	1	1	1	0
125	2025-01-21	0105	0	0	0	0	0	0	0	1
360	2025-01-23	0233	1	0	0	1	1	1	1	0
159	2025-01-23	0000	0	1	0	0	0	0	0	1
114	2025-01-24	0000	1	0	0	1	1	1	1	1
272	2025-01-24	0312	1	1	1	0	0	0	0	0
250	2025-01-20	0000	1	1	1	0	0	0	1	1
492	2025-01-20	0021	0	0	0	0	0	1	1	0
453	2025-01-18	0000	0	0	0	0	0	1	1	1
345	2025-01-18	0121	0	1	1	1	1	0	0	1
144	2025-01-17	0000	0	1	1	1	1	1	1	0
359	2025-01-17	0227	1	0	0	0	0	0	0	1
79	2025-01-23	0323	0	1	0	1	1	1	0	0
28	2025-01-23	0000	1	1	1	0	0	0	1	1
46	2025-01-22	0000	0	1	1	1	1	1	1	0
271	2025-01-22	0324	1	0	0	0	0	1	0	1
221	2025-01-18	0000	1	1	0	1	1	1	1	0
463	2025-01-18	0228	1	0	0	0	0	0	0	1
394	2025-01-17	0117	1	1	0	1	1	1	1	1
129	2025-01-17	0000	1	0	1	0	0	0	0	0
477	2025-01-21	0000	0	1	0	0	1	1	1	1
73	2025-01-21	0120	1	0	0	1	0	1	1	0
149	2025-01-19	0000	1	0	1	0	0	1	1	0
400	2025-01-19	0301	1	0	1	1	1	0	1	1
58	2025-01-22	0000	1	0	0	1	0	1	1	0
494	2025-01-22	0230	0	1	0	0	1	0	0	1
467	2025-01-22	0000	1	0	1	1	0	1	1	1
331	2025-01-22	0127	1	0	0	1	1	1	0	0
439	2025-01-18	0245	1	1	1	0	0	1	1	0
311	2025-01-18	0000	0	0	0	1	0	1	1	1
23	2025-01-22	0217	1	0	0	0	0	1	0	0
12	2025-01-22	0000	1	1	1	1	1	0	1	0
424	2025-01-24	0000	1	1	1	1	1	1	1	1
84	2025-01-24	0319	1	0	0	0	0	0	0	0
361	2025-01-20	0346	0	1	1	1	1	1	0	1
392	2025-01-20	0000	1	0	0	0	0	0	0	0
316	2025-01-23	0000	1	1	0	0	0	0	0	1
448	2025-01-23	0122	1	0	0	0	0	0	1	1
82	2025-01-17	0005	1	0	1	1	1	0	1	1
172	2025-01-17	0000	1	0	1	1	1	0	0	0
380	2025-01-23	0302	0	1	1	1	1	1	0	0
13	2025-01-23	0000	0	0	0	0	0	0	1	1
293	2025-01-17	0000	1	1	1	1	1	0	1	0
437	2025-01-17	0309	0	1	0	0	0	1	1	1
454	2025-01-21	0127	0	1	1	1	1	1	1	0
255	2025-01-21	0000	0	0	0	0	0	0	0	0
328	2025-01-21	0000	0	1	1	1	1	1	1	1
480	2025-01-21	0026	0	0	0	0	0	0	0	0
189	2025-01-17	0114	0	0	1	1	1	1	1	1
34	2025-01-17	0000	0	0	0	0	0	0	0	0
318	2025-01-20	0000	0	0	0	1	0	1	1	1
109	2025-01-20	0240	1	1	0	1	1	0	0	1
218	2025-01-21	0320	0	0	1	1	1	0	1	1
47	2025-01-21	0000	1	0	1	0	0	0	0	0
259	2025-01-24	0248	1	0	0	1	0	1	0	1
243	2025-01-24	0000	0	1	1	0	0	0	1	0
32	2025-01-19	0000	0	1	0	0	0	0	1	0
426	2025-01-19	0339	1	1	1	1	1	1	0	1
53	2025-01-17	0005	0	1	1	1	1	1	1	1
39	2025-01-17	0000	0	1	0	0	0	0	0	0
291	2025-01-17	0000	1	1	1	1	1	0	1	1
155	2025-01-17	0010	0	0	0	0	0	0	1	0
369	2025-01-23	0219	0	1	0	0	1	0	1	1
396	2025-01-20	0127	1	0	0	1	0	1	1	1
4	2025-01-24	0326	1	0	1	0	1	1	0	1
410	2025-01-17	0000	1	1	1	0	0	1	1	0
131	2025-01-18	0209	0	1	1	1	1	0	1	1
165	2025-01-24	0000	0	1	0	1	1	1	1	0
43	2025-01-24	0000	0	1	0	0	1	0	0	1
168	2025-01-18	0244	1	1	0	0	0	0	1	1
98	2025-01-23	0023	1	0	1	1	1	1	0	1
403	2025-01-18	0109	1	0	1	0	0	0	0	1
223	2025-01-22	0325	0	0	1	0	1	1	0	0
414	2025-01-21	0345	1	0	1	0	0	0	0	1
237	2025-01-19	0000	1	0	1	0	0	1	1	0
199	2025-01-19	0000	0	1	1	1	0	0	0	1
251	2025-01-17	0000	0	0	1	1	0	0	1	1
478	2025-01-20	0343	0	0	0	1	0	0	0	1
378	2025-01-19	0204	0	1	0	0	1	1	0	0
205	2025-01-18	0207	0	1	0	1	1	0	1	1
198	2025-01-24	0339	1	0	0	0	1	0	1	0
238	2025-01-23	0000	0	1	0	1	0	0	0	0
482	2025-01-22	0119	1	1	1	1	1	1	0	1
27	2025-01-23	0000	1	0	1	0	1	0	0	0
292	2025-01-22	0000	0	1	0	0	1	0	1	0
303	2025-01-19	0000	1	0	0	1	0	1	0	0
423	2025-01-17	0225	1	0	0	0	1	1	1	1
309	2025-01-20	0000	0	0	1	1	0	0	0	1
161	2025-01-23	0309	0	1	1	1	1	0	1	0
151	2025-01-18	0021	1	0	1	0	1	0	1	0
80	2025-01-18	0000	1	0	0	1	0	1	1	1
213	2025-01-20	0201	1	1	0	1	0	1	1	0
92	2025-01-20	0000	0	1	1	0	1	0	1	1
307	2025-01-19	0000	1	1	0	1	0	1	1	0
302	2025-01-23	0016	1	0	1	0	0	1	0	0
278	2025-01-20	0347	1	0	1	0	0	1	0	1
112	2025-01-17	0122	1	1	0	0	1	1	0	1
404	2025-01-22	0326	0	1	1	0	0	0	0	0
417	2025-01-23	0000	0	1	0	1	1	0	1	0
153	2025-01-21	0000	0	0	0	0	1	0	0	0
115	2025-01-23	0336	1	1	0	1	1	1	1	0
264	2025-01-24	0000	1	1	1	1	1	0	0	1
286	2025-01-18	0117	0	0	1	1	1	1	0	1
442	2025-01-23	0231	1	0	1	1	0	1	1	0
488	2025-01-21	0000	1	1	1	1	0	0	1	0
14	2025-01-19	0327	0	1	0	1	0	0	0	0
111	2025-01-21	0000	1	0	0	0	0	1	1	0
332	2025-01-17	0000	0	1	0	0	0	1	0	0
185	2025-01-24	0000	0	0	1	0	1	1	0	1
65	2025-01-18	0108	1	0	0	0	1	0	0	1
489	2025-01-19	0326	1	1	0	0	1	1	0	1
224	2025-01-22	0000	1	1	0	0	1	1	1	1
147	2025-01-17	0307	0	0	0	1	0	0	0	1
335	2025-01-22	0213	1	1	0	1	0	1	1	1
279	2025-01-22	0329	0	0	1	1	1	1	0	1
473	2025-01-23	0312	1	1	1	1	0	0	1	0
26	2025-01-22	0013	0	0	0	1	0	0	0	0
190	2025-01-23	0000	1	1	0	1	1	0	1	1
252	2025-01-21	0101	0	1	1	1	0	1	0	1
422	2025-01-21	0127	1	0	0	1	1	0	0	0
227	2025-01-17	0330	0	1	1	0	1	1	1	1
493	2025-01-18	0000	1	1	0	0	0	0	1	1
280	2025-01-18	0000	1	0	1	0	0	0	1	1
219	2025-01-19	0000	1	1	0	1	0	0	1	1
192	2025-01-17	0006	0	0	1	0	1	1	0	0
498	2025-01-21	0249	1	1	1	0	1	0	1	1
164	2025-01-24	0130	1	1	0	0	1	1	0	1
235	2025-01-20	0000	1	0	0	0	0	0	0	0
77	2025-01-23	0000	0	0	1	0	0	1	1	1
83	2025-01-21	0240	0	0	0	0	0	1	1	0
490	2025-01-17	0000	1	0	1	1	1	1	0	1
427	2025-01-23	0334	1	0	0	0	1	1	0	0
329	2025-01-23	0000	0	0	0	1	0	1	1	1
382	2025-01-19	0000	1	1	0	1	1	1	1	0
102	2025-01-17	0242	0	1	1	1	0	0	1	1
48	2025-01-21	0000	1	1	1	1	1	1	1	1
401	2025-01-23	0204	0	0	0	0	0	1	1	0
86	2025-01-20	0000	0	0	0	0	0	0	0	0
17	2025-01-24	0000	0	0	1	1	0	0	1	0
117	2025-01-17	0026	0	1	1	0	0	0	1	1
472	2025-01-18	0230	0	0	1	1	1	0	1	1
428	2025-01-23	0000	1	0	0	0	1	1	1	1
148	2025-01-22	0123	1	1	0	0	0	1	0	1
217	2025-01-24	0000	0	0	1	0	0	0	1	1
343	2025-01-17	0103	1	0	0	0	1	0	0	0
95	2025-01-24	0000	1	1	0	0	1	0	0	0
430	2025-01-21	0001	1	1	0	0	0	1	0	1
171	2025-01-20	0244	0	1	0	1	1	0	0	0
67	2025-01-24	0000	0	1	1	0	0	1	0	1
74	2025-01-20	0000	1	0	0	1	0	1	0	1
371	2025-01-22	0329	0	0	0	0	0	0	1	1
258	2025-01-22	0000	0	0	1	1	1	1	1	1
225	2025-01-21	0229	0	0	0	0	0	1	1	0
136	2025-01-24	0205	0	1	0	1	1	0	1	1
283	2025-01-19	0004	1	0	0	1	1	0	0	0
436	2025-01-19	0116	1	1	0	0	1	0	0	0
124	2025-01-23	0000	1	0	1	1	1	0	0	0
373	2025-01-23	0000	0	0	0	0	1	1	0	1
123	2025-01-19	0316	1	1	0	0	1	0	1	0
353	2025-01-24	0017	0	0	0	0	1	1	0	1
441	2025-01-24	0328	1	0	1	1	1	1	1	0
75	2025-01-21	0115	0	1	0	0	1	1	0	1
121	2025-01-17	0218	0	0	0	1	1	1	0	1
180	2025-01-24	0000	1	1	0	0	1	0	1	0
193	2025-01-23	0000	1	1	0	1	1	1	1	0
175	2025-01-20	0000	1	1	1	1	1	1	0	0
118	2025-01-23	0347	1	1	1	0	0	1	0	0
130	2025-01-19	0000	0	1	1	1	0	1	1	1
11	2025-01-21	0250	0	0	1	0	0	1	1	0
468	2025-01-22	0007	1	0	0	0	0	1	1	1
42	2025-01-21	0329	1	1	0	0	1	1	1	0
355	2025-01-21	0000	1	0	1	1	1	0	1	1
324	2025-01-24	0000	1	1	0	0	1	1	1	1
299	2025-01-20	0303	1	1	1	1	1	0	1	1
127	2025-01-22	0113	0	0	0	1	1	0	0	1
500	2025-01-17	0000	0	0	1	0	0	0	0	0
166	2025-01-21	0204	0	0	1	1	1	1	0	1
220	2025-01-24	0000	1	0	1	1	1	1	0	1
88	2025-01-24	0000	0	0	0	0	0	0	0	1
55	2025-01-17	0000	0	1	1	1	1	1	1	0
66	2025-01-22	0317	1	1	0	0	0	1	1	1
116	2025-01-20	0248	0	0	0	1	0	0	1	1
104	2025-01-24	0340	0	1	1	1	0	1	1	1
325	2025-01-24	0000	1	0	0	1	1	1	0	1
462	2025-01-18	0000	1	0	0	1	0	0	0	1
228	2025-01-21	0000	1	0	1	1	0	1	1	1
455	2025-01-22	0000	0	1	1	1	1	1	0	1
167	2025-01-18	0013	1	1	0	1	1	1	0	0
405	2025-01-20	0113	0	0	1	0	0	0	0	1
186	2025-01-21	0016	1	1	1	1	1	0	0	0
44	2025-01-23	0120	0	0	1	0	0	0	0	1
85	2025-01-18	0000	1	0	0	0	1	0	0	1
119	2025-01-23	0030	0	0	0	1	0	1	0	1
9	2025-01-24	0000	0	0	1	1	1	1	1	0
15	2025-01-18	0343	1	1	0	1	1	1	1	0
91	2025-01-18	0000	0	1	1	0	1	1	1	1
338	2025-01-23	0129	1	0	0	0	0	1	0	0
16	2025-01-20	0104	1	1	1	1	1	0	1	0
154	2025-01-22	0018	1	0	0	0	0	1	0	1
444	2025-01-21	0000	1	0	0	0	1	0	1	1
145	2025-01-19	0223	1	0	1	0	1	0	0	1
408	2025-01-23	0000	0	0	1	1	0	1	0	0
407	2025-01-20	0000	0	1	0	0	1	0	0	0
413	2025-01-18	0013	0	0	1	1	1	1	1	0
177	2025-01-20	0018	0	1	0	1	0	1	1	1
197	2025-01-19	0000	1	1	1	1	1	0	0	0
162	2025-01-17	0000	1	1	1	0	0	1	0	0
349	2025-01-17	0330	0	1	0	0	1	0	1	1
107	2025-01-17	0000	0	1	1	0	0	1	1	1
122	2025-01-17	0306	0	1	0	1	1	0	1	1
50	2025-01-19	0125	1	0	1	0	1	0	1	1
181	2025-01-21	0316	1	0	1	0	0	1	1	1
262	2025-01-17	0000	1	0	0	1	0	0	0	1
346	2025-01-17	0201	1	0	0	0	0	1	1	1
341	2025-01-22	0000	1	1	1	1	1	0	0	1
140	2025-01-21	0212	0	1	1	1	0	1	0	0
202	2025-01-22	0000	0	1	0	1	0	0	0	0
388	2025-01-18	0000	0	0	1	1	0	1	0	1
483	2025-01-20	0227	1	0	0	0	0	0	1	0
266	2025-01-17	0000	1	1	1	0	0	1	0	0
314	2025-01-23	0327	0	0	1	1	0	0	1	0
323	2025-01-20	0330	0	0	1	1	1	1	1	1
268	2025-01-20	0219	0	0	0	0	0	0	0	0
2	2025-01-17	0126	1	1	0	0	1	1	0	1
137	2025-01-23	0013	0	1	1	1	0	0	1	0
239	2025-01-18	0009	0	1	1	0	0	1	0	1
294	2025-01-20	0114	0	1	1	1	0	1	1	1
312	2025-01-17	0102	0	0	0	0	1	0	1	1
204	2025-01-18	0000	0	1	0	0	1	1	0	1
466	2025-01-21	0000	0	1	1	0	0	1	1	1
297	2025-01-20	0006	1	1	1	0	1	0	1	0
232	2025-01-22	0000	0	1	1	1	0	0	0	1
141	2025-01-23	0000	0	0	0	1	0	1	1	0
30	2025-01-24	0000	1	1	0	0	1	1	0	0
20	2025-01-19	0021	1	0	0	0	1	1	1	0
103	2025-01-22	0000	0	1	0	1	0	0	1	1
25	2025-01-18	0207	1	0	0	0	1	1	1	1
158	2025-01-22	0000	1	0	1	0	0	1	1	0
495	2025-01-24	0317	1	1	1	1	1	1	1	1
418	2025-01-19	0000	0	1	0	1	1	1	1	0
322	2025-01-23	0230	0	0	0	1	0	1	0	1
386	2025-01-18	0331	0	1	0	0	0	0	1	0
62	2025-01-22	0105	0	0	1	0	1	0	0	1
206	2025-01-17	0000	0	0	0	1	1	1	0	1
183	2025-01-21	0021	1	1	1	1	1	0	1	0
499	2025-01-17	0000	0	0	0	1	1	0	0	1
383	2025-01-22	0213	1	1	1	1	1	1	0	0
174	2025-01-20	0000	0	1	0	1	0	0	0	1
340	2025-01-21	0104	0	1	0	0	1	0	1	1
300	2025-01-17	0000	0	1	0	1	0	1	1	1
